

PERIODO;PESO;VALOR;NUM_OPERACIONES
Dic/21;147.996;143.214,95;8
Nov/21;906.772;987.711,58;53
Oct/21;852.236;946.884,93;48
Sep/21;979.710;1.141.886,91;56
Ago/21;385.886;452.687,04;20
Jul/21;41.825;48.969,70;2
Jun/21;0;0,00;0
May/21;0;0,00;0
Abr/21;0;0,00;0
Mar/21;0;0,00;0
Feb/21;0;0,00;0
Ene/21;0;0,00;0
Total;3.314.425;3.721.355,12;187
